name	class
ACAMPROSATE	ALCOHOL DETERRENTS
DISULFIRAM	ALCOHOL DETERRENTS
NALTREXONE	ALCOHOL DETERRENTS
CYANIDE ANTIDOTE PACKAGE	CYANIDE ANTIDOTES
METHYLENE BLUE	CYANIDE ANTIDOTES
DEFEROXAMINE  MESYLATE	HEAVY METAL ANTAGONISTS
DIMERCAPROL	HEAVY METAL ANTAGONISTS
EDETATE CALCIUM DISODIUM	HEAVY METAL ANTAGONISTS
SODIUM POLYSTYRENE SULFONATE	ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS
SODIUM POLYSTYRENE SULFONATE	ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS
ACETYLCYSTEINE	#N/A
CHARCOAL ACTIVATED  (OTC)	ANTIDOTES/DETERRENTS,OTHER
CHARCOAL ACTIVATED IN SORBITOL (OTC)	ANTIDOTES/DETERRENTS,OTHER
DEXTRAN 1	ANTIDOTES/DETERRENTS,OTHER
DIGOXIN IMMUNE FAB (OVINE)	ANTIDOTES/DETERRENTS,OTHER
FLUMAZENIL	ANTIDOTES/DETERRENTS,OTHER
FOMEPIZOLE	ANTIDOTES/DETERRENTS,OTHER
INSECT STING TREATMENT KIT	ANTIDOTES/DETERRENTS,OTHER
MESNA	ANTIDOTES/DETERRENTS,OTHER
NICOTINE	ANTIDOTES/DETERRENTS,OTHER
NICOTINE	ANTIDOTES/DETERRENTS,OTHER
NICOTINE POLACRILEX	ANTIDOTES/DETERRENTS,OTHER
PRALIDOXIME CL	ANTIDOTES/DETERRENTS,OTHER
VARENICLINE TARTRATE	ANTIDOTES/DETERRENTS,OTHER
PROMETHAZINE HCL	ANTIHISTAMINES,PHENOTHIAZINE
PROMETHAZINE HCL	ANTIHISTAMINES,PHENOTHIAZINE
PROMETHAZINE HCL	ANTIHISTAMINES,PHENOTHIAZINE
DIPHENHYDRAMINE HCL	ANTIHISTAMINES,ETHANOLAMINE
DIPHENHYDRAMINE HCL (OTC)	ANTIHISTAMINES,ETHANOLAMINE
CHLORPHENIRAMINE MALEATE (OTC)	ANTIHISTAMINES,ALKYLAMINE
CHLORPHENIRAMINE MALEATE (OTC)	ANTIHISTAMINES,ALKYLAMINE
CHLORPHENIRAMINE MALEATE (OTC)	ANTIHISTAMINES,ALKYLAMINE
CETIRIZINE	ANTIHISTAMINES,PIPERAZINE
HYDROXYZINE	ANTIHISTAMINES,PIPERAZINE
HYDROXYZINE	ANTIHISTAMINES,PIPERAZINE
HYDROXYZINE	ANTIHISTAMINES,PIPERAZINE
CYPROHEPTADINE	ANTIHISTAMINES,PIPERIDINE
LORATIDINE	ANTIHISTAMINES,OTHER
DIPHENHYDRAMINE HCL (OTC)	#N/A
PENICILLIN	PENICILLIN-G RELATED PENICILLINS
PENICILLIN	PENICILLIN-G RELATED PENICILLINS
PENICILLIN G BENZATHINE	PENICILLIN-G RELATED PENICILLINS
PENICILLIN G POTASSIUM	PENICILLIN-G RELATED PENICILLINS
PENICILLIN G PROCAINE	PENICILLIN-G RELATED PENICILLINS
AMOXICILLIN	PENICILLINS,AMINO DERIVATIVES
AMOXICILLIN	PENICILLINS,AMINO DERIVATIVES
AMOXICILLIN/CLAVULANATE K	PENICILLINS,AMINO DERIVATIVES
AMOXICILLIN/CLAVULANATE K	PENICILLINS,AMINO DERIVATIVES
AMPICILLIN NA	PENICILLINS,AMINO DERIVATIVES
AMPICILLIN NA/SULBACTAM NA	PENICILLINS,AMINO DERIVATIVES
DICLOXACILLIN NA	PENICILLINASE-RESISTANT PENICILLINS
NAFCILLIN NA	PENICILLINASE-RESISTANT PENICILLINS
OXACILLIN	PENICILLINASE-RESISTANT PENICILLINS
PIPERACILLIN NA	EXTENDED SPECTRUM PENICILLINS
PIPERACILLIN NA/TAZOBACTAM	EXTENDED SPECTRUM PENICILLINS
TICARCILLIN/CLAVULANATE K	EXTENDED SPECTRUM PENICILLINS
CEFAZOLIN	CEPHALOSPORIN 1ST GENERATION
CEPHALEXIN	CEPHALOSPORIN 1ST GENERATION
CEFACLOR	CEPHALOSPORIN 2ND GENERATION
